utterance,category
i have got to list ur payment options how could i do it,PAYMENT
i dont know how i can request refunds,REFUND
i dont know how to see ur payment options,PAYMENT
i cannot modify purchase 00123842,ORDER
how to see how soon can I expect my fucking purchase?,DELIVERY
what do i have to do to mae a bloody purchase,ORDER
how do i check when my order is gonna arrive,DELIVERY
where do i see the bloody ETA of the purchase 370795561790,ORDER
I ak waiting for a reimbursement of $1200,REFUND
"I need to check the status of my rebate, can you helo me?",REFUND
could you help me tgo get a fucking rebate?,REFUND
I'd like to see the cancellation fees how can i do it,CANCELLATION_FEE
my card did not work could i report a problem with payments,PAYMENT
i cant add several bloody articles to order 00004587345,ORDER
I'd like to set up a bloody delivery address,SHIPPING_ADDRESS
i want help to check in what cases can i ask for refunds,REFUND
need assistance to check what shipping options i have,DELIVERY
want assistance seeing what damn shipment  options are there,DELIVERY
I want to check in what situations can I ask for refunds,REFUND
how to correct order 732201349959 ?,ORDER
i have got to see the bloody eta of purchase 732201349959,ORDER
want help checking in which situations can i request refunds,REFUND
how could i earn several products,ORDER
i no longer want purchase 732201349959,ORDER
want help submitting a secondary delivery address,SHIPPING_ADDRESS
i need assistance leaving aa damn opinion for ur company,FEEDBACK
"I want to see your bloody payment modalities , help me",PAYMENT
can ya help me notify of a damn error with payment,PAYMENT
help listing ur bloody accepted payment modalities,PAYMENT
can ya help me shop some products,ORDER
I do not know how t file a damn consumer reclamation,FEEDBACK
need help listing the goddamn aavailable payment modalities,PAYMENT
could i check when my product is gonna arrive,DELIVERY
i want help canceling order 00004587345,ORDER
i try to check the cancellation fes,CANCELLATION_FEE
i want help to swap a goddamn item of order 00004587345,ORDER
could ya help me request a goddamn reimbursement of my money,REFUND
I need assistance checking the early termination fee,CANCELLATION_FEE
where could i enter a different shipping address,SHIPPING_ADDRESS
wanna change my shipping address will uhelp me,SHIPPING_ADDRESS
what is order 732201349959 damn current status,ORDER
i need help to see the damn cancellation charges,CANCELLATION_FEE
wanna switch a damn product of order 113542617735902,ORDER
I need hgelp to add some articles to purchase 732201349959,ORDER
how could i check what bloody delivery options are available,DELIVERY
need assistance with a bloodyaddress correction,SHIPPING_ADDRESS
I don't know how I can see your goddamn payment modalities,PAYMENT
where can i send feedback for a rpoduct,FEEDBACK
where to inform of a trouble with online payments,PAYMENT
i do not know what i need to do to report payment issues,PAYMENT
I need help submitting my feedback for a product,FEEDBACK
i do not know how to lodge a customer claim,FEEDBACK
could you help me to report a fucking isuse with payments?,PAYMENT
i nede help earning an item,ORDER
help seeing the current status of purchqse 370795561790,ORDER
I have  got to see your damn available payment options,PAYMENT
si it possible to cancel purchase 00123842,ORDER
assistance to see the ETA of the order 00004587345,ORDER
will ushow me how long refunds usually take,REFUND
want help to check in which cases can I request refunds,REFUND
need help correcting my bloody address,SHIPPING_ADDRESS
want help solving a problem with online payments,PAYMENT
I'm trying to change order 00123842,ORDER
I need supprot changing my delivery address,SHIPPING_ADDRESS
help checking in which situations can I request a refund,REFUND
i call to send some feedback about ur company,FEEDBACK
could i make a fucking claim,FEEDBACK
can i see how soon can i expect the parcel,DELIVERY
I don't know how I can buu a few of your article,ORDER
hjelp me get a bloody compensation of my money,REFUND
where to see when wqill my product arrive,DELIVERY
wanna see when will my item arrive,DELIVERY
I'd like to see ur allowed payment methods i need help,PAYMENT
want help to inform of goddamn errors with payments,PAYMENT
what do i have tro do to earn a goddamn article,ORDER
check in what situations can i request my money back,REFUND
can uhelp me see the ETA of my last delivery,ORDER
would it be possibel to make a customer claim,FEEDBACK
can you help me check your refund policy?,REFUND
help me see how soon can i expect my item,DELIVERY
how could I see the termination charge?,CANCELLATION_FEE
need help to cancel order 113542617735902,ORDER
would it be possible to request a bloody refund of money,REFUND
need to check order 732201349959 bloody current status,ORDER
how cluld i check what payment methods are allowed,PAYMENT
"I cannog find the cancellation charge, could you help me?",CANCELLATION_FEE
need assistance making a consumer claim against ur company,FEEDBACK
i dont know what i have to do to leave an opinion,FEEDBACK
i try to inform of problems with online payments,PAYMENT
I need help solving a bloody problem with payment,PAYMENT
i dont know how to see the status of my reimbursement,REFUND
I need to check the methdos for delivery,DELIVERY
where tocheck order 732201349959 status,ORDER
I need help to check your available payment modalities,PAYMENT
need assistance to solve a fucking trouble with payment,PAYMENT
where can I submit feedabck for a service?,FEEDBACK
i do not know what to do to see the termination fees,CANCELLATION_FEE
need to see my rebate status how to do it,REFUND
is it possible to check ur damn payment options,PAYMENT
how do i set up the fucking secondary delivery address,SHIPPING_ADDRESS
can you help me seeing in what cases can I ask for refunds?,REFUND
can ya help me getting a refund of money,REFUND
is there a section to submit my damn feedback for a service,FEEDBACK
see order 113542617735902 bloody current satus,ORDER
help me solve a problem with online payment,PAYMENT
help to switch some areticles of purchase 00123842,ORDER
help seeing in what cases can I request my money back,REFUND
i need help seeing purchase 732201349959 goddamn statsu,ORDER
I ned assistance leaving a bloody opinion for your products,FEEDBACK
want help to lodge a reclamation against ur organization,FEEDBACK
tell me about changing the address,SHIPPING_ADDRESS
I am waiting for a damn refund of $160,REFUND
what do i have to do to list ur apyment options,PAYMENT
where can I acquire some of your article?,ORDER
my experience with ur work was awful how to makea complaint,FEEDBACK
could ya help me to see purchase 732201349959 bloody status,ORDER
need assistance to check the goddamn delivery options,DELIVERY
what do i have to do to order a product,ORDER
need assistance to canmcel the last damn order,ORDER
could you help me to see the methods for shipping?,DELIVERY
need help cacneling purchase 370795561790,ORDER
want assistance reporting a payment problem,PAYMENT
I need assistance informingof a trouble with online payment,PAYMENT
i dont know how i can modify the shipping address,SHIPPING_ADDRESS
need to check how long the damn refunds take,REFUND
is it possible to see the goddamn cancellation penalties?,CANCELLATION_FEE
where could I find information about an address update?,SHIPPING_ADDRESS
could ugive me information about cancelling a purchase,ORDER
where do i check the damn early exit charge,CANCELLATION_FEE
i need help seeing when my fucking parcel is gonna arrive,DELIVERY
could  i check what goddamn methods for delivery uoffer,DELIVERY
could uhelp me seing the available payment modalities,PAYMENT
can I see the goddamn early exit fees?,CANCELLATION_FEE
help me to leave a bloody review for ur products,FEEDBACK
is it possible to check purchase 370795561790 status,ORDER
help sereing the shipping methods,DELIVERY
I want assostance checking the available payment modalities,PAYMENT
i do not know what i have to  do to lodge a consumer claim,FEEDBACK
I need help to see what shipping methods are there,DELIVERY
i cannot see ur refund policy,REFUND
I'd like to file a reclamation,FEEDBACK
will ugive me information about the shipping periods,DELIVERY
i want supports modifying my goddamn delivery address,SHIPPING_ADDRESS
i need help canceling the last damn order,ORDER
I'd like to edit purchase 00123842 how do i do i,ORDER
want help seeing in what cases can i ask for a reimbursement,REFUND
can ushowme the damn current status of the reimbursement,REFUND
i want help buying some articles,ORDER
where to demand a refund,REFUND
is it possible to submit feedback for ur products,FEEDBACK
how to add an article to order 113542617735902,ORDER
I'd like to inform of bloody problems with payment,PAYMENT
need help to file a damn complaint against ur business,FEEDBACK
i need assistance making a bloody customer reclamation,FEEDBACK
i dont know how to see the damn early termination charge,CANCELLATION_FEE
where can I make a reclamation against your business ?,FEEDBACK
help meto see what delivery options i can choose,DELIVERY
help me to receive a refund,REFUND
i want assistance to receive bloody reimbursements,REFUND
help me to ermove an article from purchase 00004587345,ORDER
help me see in which situations can i ask for reimbursements,REFUND
could i see what damn payment options are available,PAYMENT
I'm trying to see the options for shipment,DELIVERY
where do i check the termination charge,CANCELLATION_FEE
assistance seeing in what cases can I request reimbursements,REFUND
where to file a consumer complaint against ur organization,FEEDBACK
i need assistance with canceling the last goddamn purchase,ORDER
want assistance to see how soon can I expect my shipmetn,DELIVERY
i have to check my compensation current status,REFUND
need to set up a fucking shipping address,SHIPPING_ADDRESS
i dont knowq how i could see my damn refund status,REFUND
i do not know how to receive reimbursements,REFUND
i need assistance to see the fucking withdrawal charges,CANCELLATION_FEE
need to cancel the goddamn order i made,ORDER
I do not know how to send some feedback for an service,FEEDBACK
I have a problem setting up a shipping addresws,SHIPPING_ADDRESS
can i check if there are any updates on my rebate,REFUND
neeed assistance to send goddamn feedback for a service,FEEDBACK
can ya help me get an restitution of money,REFUND
how could i switch an item of order 113542617735902,ORDER
help me seeing in which cases can I ask for a damn refund,REFUND
can uhelp me make a customer coplaint,FEEDBACK
I'd like to check the fucking payment options i need help,PAYMENT
can you help me send my feedback abouit your company?,FEEDBACK
what do i need to do to make a fucking customer complaint,FEEDBACK
how could I  switch an item of purchase 370795561790?,ORDER
i need  help seeing what methods for delivery uoffer,DELIVERY
need assistance getting bloody rebates of my money,REFUND
can ya help me check in which cases can i ask for refunds,REFUND
i want assistance checking what methods for delivery uoffer,DELIVERY
how much would ucharge me for breaking the conyract,CANCELLATION_FEE
would it be possible to report troubles with payments,PAYMENT
the experience with ur srvice has been bad make a complaint,FEEDBACK
could  uhelp me report bloody problems with online payment,PAYMENT
I want assistance to see how long reimbursements take,REFUND
need help deleting some items from ortder 00004587345,ORDER
how could I check purchase 732201349959 bloody status?,ORDER
need assistance to acquire a bloody item,ORDER
i do not wznt order 00004587345,ORDER
need help switching an article of purchase 370795561790,ORDER
wanna see the current status of my compensation,REFUND
need help to enter my goddamn secondary delivery address,SHIPPING_ADDRESS
help cancelling the damn order i made,ORDER
i have to see the shipping options,DELIVERY
I am calling to write an opinion about your company,FEEDBACK
what are the potions for shipment,DELIVERY
how to set up an different delivery address?,SHIPPING_ADDRESS
i have a problem with cancelling my purchases,ORDER
i do not know what tol do to see the bloody termination fee,CANCELLATION_FEE
how do i delete some fucking products from order 00123842,ORDER
could  you help me obtain a bloody restitution of money?,REFUND
I try to make a complaint,FEEDBACK
I want ot check order 370795561790 goddamn status,ORDER
i dont know how i could receive fucking rebates of money,REFUND
help me to leave a goddamn coment about ur company,FEEDBACK
i dont know how i can receive bloody rebates of money,REFUND
need to shop several items how could i do it,ORDER
can ushow me how soon can i expect my damn order,DELIVERY
i dont nkow how i can see the compensation status,REFUND
could ya help me to cancel order 00004587345,ORDER
i do not know how i can cancel my damn purchase,ORDER
where to check the damn status of purchase 00123842,ORDER
I'd like to enter another goddamn shpping address help me,SHIPPING_ADDRESS
how could i ask for a refund of my money,REFUND
how to leave a comment about a product,FEEDBACK
i want help to cancel the last damn purchase i made,ORDER
i need help checking the damn early termination charge,CANCELLATION_FEE
want assistance removing something from order 732201349959,ORDER
want help to check in what cases can i ask for my money back,REFUND
i dont know what to do to check the ETA of order 00004587345,ORDER
can i remove an item from order 00123842,ORDER
could uhelp me checking my damn rebate current status,REFUND
I'd like to see the ETA of the order 00123842 can uhelp me,ORDER
how to see what bloody shipping options I have?,DELIVERY
where to inform of goddamn errors with payments,PAYMENT
wanna edit order 00123842 how could i do it,ORDER
want help checking what shipping methods I have,DELIVERY
i hav problems with swapping some items of order 00123842,ORDER
is it possible to see in which casaes can i ask for refunds,REFUND
I would like to know more about the bloody shipping period,DELIVERY
I want help to solve issues with online payments,PAYMENT
how do I edit order 732201349959 ?,ORDER
I don't know what to doo to see the bloody early exit fee,CANCELLATION_FEE
check my fucking restitution status,REFUND
i have to see the damn rebate status can i get some help,REFUND
i want help to see the eta of purchase 732201349959,ORDER
assistance writing a fucking review about ur products,FEEDBACK
i cant pay how to inform of errors with online payment,PAYMENT
i need assistance to inform of issues with payment,PAYMENT
i dont know how i can see when will my article arrive,DELIVERY
want assistance to demand restitutions of my money,REFUND
i dont know what i need to do to cancel purchase 00123842,ORDER
could uhelp me to report bloody issues with payment,PAYMENT
could i check the fucking early exit penalties,CANCELLATION_FEE
I don't know what I have todo to shop an article,ORDER
I want assistance to lodge a customer clai,FEEDBACK
i do not know how to submit my delivery address,SHIPPING_ADDRESS
"I have to track the rebate , help me",REFUND
i dont know how i could see the shipping options,DELIVERY
is it possible to update order 370795561790,ORDER
where can I ask for a fucking  reimbursement of money?,REFUND
would it be possible to inform of payment errors,PAYMENT
i need help demanding rebates,REFUND
i need help to check the shipment methods,DELIVERY
I don't know what I need to do to correct the bloody address,SHIPPING_ADDRESS
how can i add an item to order 113542617735902,ORDER
I'm looking for the delivery periods can uhelp me find them,DELIVERY
will ya give me information about canceling fucking orders,ORDER
i want help t report issues with payments,PAYMENT
wanna check ur accepted payment modalities,PAYMENT
i need supports correctingthe address,SHIPPING_ADDRESS
have an question about canceling order 113542617735902,ORDER
wanna see purchase 732201349959 status how can i do it,ORDER
i want help checking the eta of order 370795561790,ORDER
i try to write an opinion for a service,FEEDBACK
help solving aq problem with payment,PAYMENT
wanna change something of purchase 370795561790 i need help,ORDER
i wanthelp to check the ETA of purchase 00123842,ORDER
can ya help me making a bloody claim against ur company,FEEDBACK
need help notifying of bloody troubles with online payments,PAYMENT
help sending feedback for ur services,FEEDBACK
i do not know what i have to do to file a customer complaint,FEEDBACK
how to check the goddamn status of purchase 732201349959 ?,ORDER
i cant check the damn current status of my rebate,REFUND
I need assistance solving damn errors iwth payments,PAYMENT
there is a problem editing the shipping address,SHIPPING_ADDRESS
how do i check order 113542617735902 goddamn current status,ORDER
I call to check how long it takes for the parcel to arrive,DELIVERY
i need help to see the termination charge,CANCELLATION_FEE
I do not know what to do to see when will my prouct arrive,DELIVERY
i have got to cancel order 732201349959,ORDER
check purchase 370795561790 currentstatus,ORDER
"I want to see  your refund policy, I need help",REFUND
want help to submit some feedback avout ur services,FEEDBACK
can uhelp me to cancel the last fucking purchase i have made,ORDER
what do i need to do to see the cancellation penalty,CANCELLATION_FEE
want assistance to request a rebate of money,REFUND
I have got to make a consumer claim,FEEDBACK
want help lodging a customer claim against your busines,FEEDBACK
"I would like to submit damn feedback , will you help me?",FEEDBACK
I do not know how to earn a few of your item,ORDER
wanna see ur money back guarantee,REFUND
i try to check how long the shipent takes,DELIVERY
I can't check the goddamn ETA of the order 00123842,ORDER
I have got to add a damn item to purchse 732201349959,ORDER
helpp purchasing several damn items,ORDER
i need help to set my bloody new delivery address up,SHIPPING_ADDRESS
i need help obaining reimbursements of money,REFUND
have a question about canceling a damn order I made,ORDER
need to see how soon can i expect my product how can i do it,DELIVERY
i have a problem with modifying order 113542617735902,ORDER
I'd like to check the early termination fees,CANCELLATION_FEE
how can i know if there are any news on the reimbursement,REFUND
assistance to file a damn claim against your copany,FEEDBACK
assistance to see ur money back policy,REFUND
wanna send feedback for a service can ya help me,FEEDBACK
there is a trouble setting a new shipping address up,SHIPPING_ADDRESS
i want help lodging a complaint against ur company,FEEDBACK
I'd like to see the status oforder 370795561790,ORDER
i can no longer pay for order 00123842 how do i cancel  it,ORDER
i need assistance seeing what shipment options are available,DELIVERY
would it be possible to buy a fucking item,ORDER
want help receiving a refund of money,REFUND
is it possible to update my address,SHIPPING_ADDRESS
i want help to change some products of order 00123842,ORDER
how do I lodge a customer claim?,FEEDBACK
help me lodge an fucking reclamation against ur company,FEEDBACK
I don't know how I could check the termination fee,CANCELLATION_FEE
I'm trying to correct order 00123842,ORDER
need assistance obtaining refunds,REFUND
errors setting up my bloody secondary shipping address,SHIPPING_ADDRESS
i do not know what i have to do to correct the address,SHIPPING_ADDRESS
I try to check if there is anything wrong with my refund,REFUND
help seeing the damn ETA of the purchase 00004587345,ORDER
I am trying to check the goddamn cancellation penalties,CANCELLATION_FEE
I need to see the damn withdrawal fees,CANCELLATION_FEE
i have got to check order 00123842 status how could i do it,ORDER
how can i order some of ur article,ORDER
i can check ur goddamn money back guarantee,REFUND
i have an error setting up my new shipping address,SHIPPING_ADDRESS
i want assistance earning several products,ORDER
i have t see how soon can i expect the item will ya help me,DELIVERY
i cannot enter a fucking different delivery address,SHIPPING_ADDRESS
how doi i leave a damn comment about a product,FEEDBACK
I want support trying to modify my fucking address,SHIPPING_ADDRESS
how can I check whatmethods for delivery are available?,DELIVERY
could yha help me to leave a review for a service,FEEDBACK
i dont know how i can cancel my purchase,ORDER
help me to check when my order is going to arrive,DELIVERY
wanna check when will my article arrive help me,DELIVERY
"I need to see the status of the rebated, how can I do it?",REFUND
is it possible to request a refund of money,REFUND
prblems with changing several products of order 00123842,ORDER
help checking in what cases can I ask for a refund,REFUND
I expect a compensation of 1200 dollars,REFUND
want assistance editing order 113542617735902,ORDER
how could i get information about delivery period,DELIVERY
wanna see ur damn money back guarantee can uhelp me,REFUND
i need help filinga damn complaint against ur company,FEEDBACK
can  ya show me in which cases can i request a reimbursement,REFUND
have a question about canceling my last bloody purchase,ORDER
need assistance with cancelling the damn order I have made,ORDER
wanna receive a fucking restitution of my money,REFUND
could i update the address,SHIPPING_ADDRESS
i have to add several items to order 113542617735902,ORDER
I call to see what damn derlivery options I have,DELIVERY
can ya help me to purchase some of ur item,ORDER
i want help to cancel order 113542617735902,ORDER
i need help changing the address,SHIPPING_ADDRESS
I want help setting the secondary delivery  address up,SHIPPING_ADDRESS
want help seeing your reimbursement policy,REFUND
i dont know what to do to submit the new delivery address,SHIPPING_ADDRESS
how to check the damn rebate status,REFUND
i cant add some goddamn items to purchase 732201349959,ORDER
where could i check how soon can i expectthe order,DELIVERY
help seeing how soon can i expect the damn shipment,DELIVERY
could uhelp mecheck the reimbursement status,REFUND
i have got to check how long the edlivery takes,DELIVERY
I would like to se the cancellation penalties,CANCELLATION_FEE
want help to check when my bloody shipment is gonna arrive,DELIVERY
I do not know how to send my fucking feedback for a service,FEEDBACK
help me know if there are any updates on the refund,REFUND
where could I submit some damn feedback?,FEEDBACK
can ya help me to see the current status of my compensation,REFUND
I want assistance demanding a reimbursement of money,REFUND
I want assistance to see what shipping options I havew,DELIVERY
i cant check order 00004587345 goddamn current status,ORDER
I need to notify of issues with online payment,PAYMENT
i want assistance to check the ETA of the order 732201349959,ORDER
i need assistance toask for a rebate,REFUND
assistance with changing a product of purchase 370795561790,ORDER
i paid $299 for these articles help to get my money back,REFUND
i want help trying to edit my fucking address,SHIPPING_ADDRESS
I need help locating purchase 00004587345,ORDER
wanna know about changing the address,SHIPPING_ADDRESS
i need assistance to see what delivery options i have,DELIVERY
i need help to see what payment options uaccept,PAYMENT
can ushow me what payment methods uaccept,PAYMENT
i have to see the ETA of orde 00123842 can i get some help,ORDER
wanna see what damn shipping methods are there,DELIVERY
would it be possible to check ur payment modaliyies,PAYMENT
could i place ah order from Japan,DELIVERY
I'd like to enter my shipping address help me,SHIPPING_ADDRESS
consumer clai against ur organization,FEEDBACK
wanna check the bloody shipping methods can uhelp me,DELIVERY
could uhelp meupdating the address,SHIPPING_ADDRESS
i do not know how to obtain a bloody restitution of money,REFUND
i need help leaving a fucking opinion about ur services,FEEDBACK
how could I cancel purchase 370795561790?,ORDER
need to check the bloody termination fee,CANCELLATION_FEE
can ya help me to see the fucking cancellationcharge,CANCELLATION_FEE
help to cancel order 113542617735902,ORDER
i cant see if there are any news on my refund,REFUND
can I check the ETAof the order 00004587345?,ORDER
can ya show me in what cases can i request refunds,REFUND
problem with cancelling the purchase i have made,ORDER
i try to set up my new shipping address,SHIPPING_ADDRESS
i have got to submit the delivery address i need assistance,SHIPPING_ADDRESS
under what circumstances can I request a refund?,REFUND
my goddamn address changed could i correct it,SHIPPING_ADDRESS
wanna add some damn items to order 370795561790 help me,ORDER
when am I receiving my bloody rebate of money ?,REFUND
help to file a ocnsumer reclamation against your company,FEEDBACK
i wasnt information about canceling purchases,ORDER
how can i acquire several articles,ORDER
need help buying an article,ORDER
help leaving a comment about a product,FEEDBACK
wanna acquire some fucking items howe do i do it,ORDER
I expect a fucking compensation of $1200,REFUND
have a problem with the shipping options,DELIVERY
i have got to see how soon can i expect my item can uhelp me,DELIVERY
want assistance reporting troubles with online payments,PAYMENT
I want help to receive goddamn compensations of moneey,REFUND
could uhelp me check when my fucking article is gonna arrive,DELIVERY
how can i make a damn customer complaint against ur business,FEEDBACK
need to set up the fucking delivery address,SHIPPING_ADDRESS
need help seeing the delivery  methods,DELIVERY
i need assistance obtaining a fucking refund of my money,REFUND
need to see when my package is gonna arrive how do i do it,DELIVERY
i have to set up my new shipping address how could i do it,SHIPPING_ADDRESS
wanna know about correcting my address,SHIPPING_ADDRESS
I'm trying to check the options for delivery,DELIVERY
I'd like to track my goddamn restitution how could i do it,REFUND
i need help checking the termination fees,CANCELLATION_FEE
wanna check my bloody refund status could i get some help,REFUND
need help with changing something fo purchase 370795561790,ORDER
wanna see what methods for delivery are available,DELIVERY
want help getting an compensation,REFUND
help to see in what cases can i ask for my damn money back,REFUND
i want help to inform of errors  with online payments,PAYMENT
want assistance filing a complaint against your company,FEEDBACK
want assistance editig order 113542617735902,ORDER
could i delete a product from purchase 00123842,ORDER
what do i need to do to see order 00123842 bloody status,ORDER
I want to check my compensation current status,REFUND
assistance to leave goddamn feedback about ur company,FEEDBACK
how to see the withdrawal penalteis?,CANCELLATION_FEE
I am trying to see in what cases can I ask for a refund,REFUND
i have chosen a wrong damn address by mistake,SHIPPING_ADDRESS
will ugive me information about changing my bloody address,SHIPPING_ADDRESS
I want information about a fucking addres correction,SHIPPING_ADDRESS
i want assistance seeing the bloody paymentoptions,PAYMENT
want support trying to update the fucking delivery address,SHIPPING_ADDRESS
i have to swap an item of order 370795561790,ORDER
want help seeing how soon can I expect my parcel,DELIVERY
could I delete a bloody article from order 370795561790?,ORDER
how could i report a bloody error with online payment,PAYMENT
i want help canceling an order i made,ORDER
i cant swap a produc of order 113542617735902,ORDER
i needassistance seeing the early exit fee,CANCELLATION_FEE
can ya give me information about canceling purchases,ORDER
can i see in what cases can i request a reimbursement,REFUND
I do not know what to do to cancel order 00123842,ORDER
i do not know how to set the damn new shipping address up,SHIPPING_ADDRESS
I need support trying to change my goddamn address,SHIPPING_ADDRESS
i paid $299 for this item i need to receive a fucking rebate,REFUND
how could i check the bloody termination charges,CANCELLATION_FEE
i do not know what i need to do to buy a few of ur article,ORDER
"I have to check in what cases can I request a refund, help m",REFUND
want help to submit my damn feedback for your products,FEEDBACK
i want assistance to make a damn reclamaion,FEEDBACK
wanna lodge a complaint could ya help me,FEEDBACK
i want assistance to leave a commentabout a product,FEEDBACK
i cannot switch some products of order 00004587345,ORDER
I have errors submitting the  damn shipping address,SHIPPING_ADDRESS
I dom't know how to ask for a rebate of money,REFUND
need to switch several items of order 00004587345,ORDER
